"study_ID","measured_response_variable","measured_response_comments","reported_units"
"77_bn","Vaccinium uliginosum change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_bo","Vaccinium uliginosum change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_bp","Vaccinium uliginosum change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_bq","Vaccinium uliginosum change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_br","Vaccinium uliginosum change of biomass","tundra plots in Seiland","gm-2"
"77_bs","Vaccinium uliginosum change of biomass","tundra plots in Seiland","gm-2"
"77_bt","Vaccinium uliginosum change of biomass","tundra plots in Seiland","gm-2"
"77_bx","Vaccinium vitis-idaea change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_by","Vaccinium vitis-idaea change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_bz","Vaccinium vitis-idaea change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ca","Vaccinium vitis-idaea change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_cb","Vaccinium vitis-idaea change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_cc","Vaccinium vitis-idaea change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_cd","Vaccinium vitis-idaea change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_ce","Vaccinium vitis-idaea change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_cf","Vaccinium vitis-idaea change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_cj","Change of total plant biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ck","Change of total plant biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_cl","Change of total plant biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_cm","Change of total plant biomass","tundra plots in Joatka","gm-2 yr-1"
"77_cn","Change of total plant biomass","tundra plots in Joatka","gm-2 yr-1"
"77_co","Change of total plant biomass","tundra plots in Joatka","gm-2 yr-1"
"77_cp","Change of total plant biomass","tundra plots in Seiland","gm-2 yr-1"
"77_cq","Change of total plant biomass","tundra plots in Seiland","gm-2 yr-1"
"77_cr","Change of total plant biomass","tundra plots in Seiland","gm-2 yr-1"
"77_cs","Change of cover of mosses","tundra plots in Abisko","% year-1"
"77_ct","Change of cover of mosses","tundra plots in Abisko","% year-1"
"77_cu","Change of cover of mosses","tundra plots in Abisko","% year-1"
"77_cv","Change of cover of mosses","tundra plots in Vassijaure","% year-1"
"77_cw","Change of cover of mosses","tundra plots in Vassijaure","% year-1"
"77_cx","Change of cover of mosses","tundra plots in Vassijaure","% year-1"
"77_cy","Change of cover of mosses","tundra plots in Joatka","% year-1"
"77_cz","Change of cover of mosses","tundra plots in Joatka","% year-1"
"77_da","Change of cover of mosses","tundra plots in Joatka","% year-1"
"77_db","Change of cover of mosses","tundra plots in Seiland","% year-1"
"77_dc","Change of cover of mosses","tundra plots in Seiland","% year-1"
"77_dd","Change of cover of mosses","tundra plots in Seiland","% year-1"
"77_de","Change of cover of liverworts","tundra plots in Abisko","% year-1"
"77_df","Change of cover of liverworts","tundra plots in Abisko","% year-1"
"77_dg","Change of cover of liverworts","tundra plots in Abisko","% year-1"
"77_dh","Change of cover of liverworts","tundra plots in Vassijaure","% year-1"
"77_di","Change of cover of liverworts","tundra plots in Vassijaure","% year-1"
"77_dj","Change of cover of liverworts","tundra plots in Vassijaure","% year-1"
"77_dk","Change of cover of liverworts","tundra plots in Joatka","% year-1"
"77_dl","Change of cover of liverworts","tundra plots in Joatka","% year-1"
"77_dm","Change of cover of liverworts","tundra plots in Joatka","% year-1"
"77_dn","Change of cover of liverworts","tundra plots in Seiland","% year-1"
"77_do","Change of cover of liverworts","tundra plots in Seiland","% year-1"
"77_dp","Change of cover of liverworts","tundra plots in Seiland","% year-1"
"77_dq","Change of cover of lichens","tundra plots in Abisko","% year-1"
"77_dr","Change of cover of lichens","tundra plots in Abisko","% year-1"
"77_ds","Change of cover of lichens","tundra plots in Abisko","% year-1"
"77_dt","Change of cover of lichens","tundra plots in Vassijaure","% year-1"
"77_du","Change of cover of lichens","tundra plots in Vassijaure","% year-1"
"77_dv","Change of cover of lichens","tundra plots in Vassijaure","% year-1"
"77_dw","Change of cover of lichens","tundra plots in Joatka","% year-1"
"77_dx","Change of cover of lichens","tundra plots in Joatka","% year-1"
"77_dy","Change of cover of lichens","tundra plots in Joatka","% year-1"
"77_dz","Change of cover of lichens","tundra plots in Seiland","% year-1"
"77_ea","Change of cover of lichens","tundra plots in Seiland","% year-1"
"77_eb","Change of cover of lichens","tundra plots in Seiland","% year-1"
"78_a","tiller length of Hierochloe alpina",NA,"cm"
"78_b","ramet size of Carex microchaeta",NA,"cm"
"78_c","new shoot length of Betula nana",NA,"cm"
"78_d","mean maximum number of inflorescences of Hierochloe alpina",NA,"number of inflorescences"
"78_g","number of leaves per tiller of Eriophorum vaginatum",NA,"nr of leaves"
"78_h","ramet size of Carex microchaeta",NA,"cm"
"78_i","new shoot length of Betula nana",NA,"cm"
"79_a","Total aboveground plant biomass",NA,"g/m2"
"79_b","Dead standing litter","litter still standing erect, often still attached to living plants","g/m2"
"79_c","Graminoid biomass",NA,"g/m2"
"79_d","Litter","litter detached from plants, lying down horizontally","g/m2"
"79_e","Moss",NA,"g/m2"
"79_f","Other biomass","biomass fraction of arctic willow, Equisetum spp, Polygonum viviparum, Saxifraga sp","g/m2"
"79_g","Total aboveground plant N pool",NA,"g/m2"
"79_h","Dead standing litter N pool","dlitter still standing erect, often still attached to living plants","g/m2"
"79_i","Graminoid N pool",NA,"g/m2"
"79_j","Litter N pool","litter detached from plants, lying down horizontally","g/m2"
"79_k","Moss N pool",NA,"g/m2"
"79_l","Other N pool","biomass fraction of arctic willow, Equisetum spp, Polygonum viviparum, Saxifraga sp","g/m2"
"79_m","Total aboveground plant N concentration",NA,"%"
"79_n","Total aboveground plant quality",NA,"C:N ratio"
"79_o","Active layer depth","The active layer depth is defined as the depth from the permafrost barrier to the transition between the green and brown moss layer","cm"
"79_q","Soil temperature",NA,"C"
"90_a","GPP600L",NA,"micromol CO2 m-2 s-1"
"90_b","Soil temperature",NA,"oC"
"90_c","Soil moisture",NA,"%"
"90_f","Betula nana","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_g","Empetrum hermaphroditum","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_h","Vaccinium vitis-idaea","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_i","GPP600L",NA,"micromol CO2 m-2 s-1"
"90_j","Soil temperature",NA,"oC"
"90_k","Soil moisture",NA,"%"
"90_n","Betula nana","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_o","Empetrum hermaphroditum","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_p","Vaccinium vitis-idaea","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_q","GPP600L",NA,"micromol CO2 m-2 s-1"
"90_r","Soil temperature",NA,"oC"
"90_s","Soil moisture",NA,"%"
"90_v","Betula nana","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_w","Empetrum hermaphroditum","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_x","Vaccinium vitis-idaea","point intercept data transformed to g/m with site-specfic conversion functions","g m-2"
"90_y","net ecosystem respiration",NA,"micromol CO2 m-2 s-1"
"90_z","net ecosystem exchange",NA,"micromol CO2 m-2 s-1"
"90_aa","net ecosystem respiration",NA,"micromol CO2 m-2 s-1"
"90_ab","net ecosystem exchange",NA,"micromol CO2 m-2 s-1"
"90_ac","net ecosystem respiration",NA,"micromol CO2 m-2 s-1"
"90_ad","net ecosystem exchange",NA,"micromol CO2 m-2 s-1"
"94_a","Thaw depth","Depth of thaw using protocols from the Circumpolar Active Layer Monitoring Program (negative values)","cm"
"94_b","Thaw depth","Depth of thaw using protocols from the Circumpolar Active Layer Monitoring Program (negative values)","cm"
"94_c","Thaw depth","Depth of thaw using protocols from the Circumpolar Active Layer Monitoring Program (negative values)","cm"
"94_d","Saturated soil depth","A hole was drilled and a porous PVC tube was used to determine the height of the water table relative to the soil surface and permafrost (i.e. depth of inundated soil) - negative values","cm"
"94_e","Saturated soil depth","A hole was drilled and a porous PVC tube was used to determine the height of the water table relative to the soil surface and permafrost (i.e. depth of inundated soil) - negative values","cm"
"94_f","Saturated soil depth","A hole was drilled and a porous PVC tube was used to determine the height of the water table relative to the soil surface and permafrost (i.e. depth of inundated soil) - negative values","cm"
"94_g","NDVI","Normalized difference vegetation index (hyperspectral data)","unitless"
"94_h","NDVI","Normalized difference vegetation index (hyperspectral data)","unitless"
"94_i","NDVI","Normalized difference vegetation index (hyperspectral data)","unitless"
"94_j","Albedo","Surface albedo (short-wave surface reflectance)","unitless"
"94_k","Albedo","Surface albedo (short-wave surface reflectance)","unitless"
"94_l","Albedo","Surface albedo (short-wave surface reflectance)","unitless"
"94_m","Gross Ecosystem Exchange (CO2)","Measured following Oberbauer et al., 2007. This is the influx of CO2 from atmosphere to ecosystem (it always takes negative values)","gC m-2 day-1"
"94_n","Gross Ecosystem Exchange (CO2)","Measured following Oberbauer et al., 2007. This is the influx of CO2 from atmosphere to ecosystem (it always takes negative values)","gC m-2 day-1"
"94_o","Gross Ecosystem Exchange (CO2)","Measured following Oberbauer et al., 2007. This is the influx of CO2 from atmosphere to ecosystem (it always takes negative values)","gC m-2 day-1"
"94_p","Ecosystem respiration (CO2)","Measured following Oberbauer et al., 2007. This is the efflux of CO2 from ecosystem to atmosphere (it always takes positive values)","gC m-2 day-1"
"94_q","Ecosystem respiration (CO2)","Measured following Oberbauer et al., 2007. This is the efflux of CO2 from ecosystem to atmosphere (it always takes positive values)","gC m-2 day-1"
"94_r","Ecosystem respiration (CO2)","Measured following Oberbauer et al., 2007. This is the efflux of CO2 from ecosystem to atmosphere (it always takes positive values)","gC m-2 day-1"
"94_s","Net ecosystem exchange (CO2)","Measured following Lara et al., 2012 and Lasslop et al., 2010. This is the net flux of CO2 between atmosphere and ecosystem (it can take negative or positive values depending on whether the flux is towards the ecosystem or atmosphere, respectively)","gC m-2 day-1"
"94_t","Net ecosystem exchange (CO2)","Measured following Lara et al., 2012 and Lasslop et al., 2010. This is the net flux of CO2 between atmosphere and ecosystem (it can take negative or positive values depending on whether the flux is towards the ecosystem or atmosphere, respectively)","gC m-2 day-1"
"94_u","Net ecosystem exchange (CO2)","Measured following Lara et al., 2012 and Lasslop et al., 2010. This is the net flux of CO2 between atmosphere and ecosystem (it can take negative or positive values depending on whether the flux is towards the ecosystem or atmosphere, respectively)","gC m-2 day-1"
"94_v","CH4 flux","Measured following Lara et al., 2021","mgC m-2 day-1"
"94_w","CH4 flux","Measured following Lara et al., 2021","mgC m-2 day-1"
"94_x","CH4 flux","Measured following Lara et al., 2021","mgC m-2 day-1"
"94_y","C-CO2eq","It refers to carbon-CO2 equivalents. This is to evaluate the combined radiative forcing potential of daily CO2 and CH4 fluxes - it has been calculated using a 100-year atmospheric residence time for CH4 (CH4 = 23 x CO2)","gC m-2 day-1"
"94_z","C-CO2eq","It refers to carbon-CO2 equivalents. This is to evaluate the combined radiative forcing potential of daily CO2 and CH4 fluxes - it has been calculated using a 100-year atmospheric residence time for CH4 (CH4 = 23 x CO2)","gC m-2 day-1"
"94_aa","C-CO2eq","It refers to carbon-CO2 equivalents. This is to evaluate the combined radiative forcing potential of daily CO2 and CH4 fluxes - it has been calculated using a 100-year atmospheric residence time for CH4 (CH4 = 23 x CO2)","gC m-2 day-1"
"100_a","moss biomass",NA,"g m2"
"100_b","depth moss layer",NA,"mm"
"100_d","grass biomass (peak in season)",NA,"g m2"
"100_f","shrub biomass (peak in season)",NA,"g m2"
"100_g","moss decomposition",NA,"mg yr"
"100_h","green moss biomass",NA,"g m2"
"100_i","soil temperature",NA,"d C"
"100_j","soil ammonium availanbility","only possible to use as differences in relative availability, not absolute availabillity","microg / membrane"
"100_k","soil nitrate availabillity","only possible to use as differences in relative availability, not absolute availabillity","microg / membrane"
"100_l","moss biomass",NA,"g m2"
"100_m","depth moss layer",NA,"mm"
"100_o","grass biomass (peak in season)",NA,"g m2"
"100_q","shrub biomass (peak in season)",NA,"g m2"
"100_r","moss decomposition",NA,"mg yr"
"100_s","green moss biomass",NA,"g m2"
"100_t","soil temperature",NA,"d C"
"100_u","soil ammonium availanbility","only possible to use as differences in relative availability, not absolute availabillity","microg / membrane"
"100_v","soil nitrate availabillity","only possible to use as differences in relative availability, not absolute availabillity","microg / membrane"
"100_w","belowground biomass","of grasses","g m-2"
"100_x","belowground biomass","of mosses","g m-2"
"105_a","Fungi:bacteria of soil hummus layer",NA,NA
"105_b","C:N of soil hummus layer",NA,NA
"105_c","Enchytraeids of soil hummus layer",NA,"microg/g soil"
"105_d","NH4 of soil hummus layer",NA,"microg/g soil"
"110_a","change in C stock",NA,"g C m-2"
"110_b","change in C stock",NA,"g C m-2"
"110_c","change in C stock",NA,"g C m-2"
"110_d","change in C stock",NA,"g C m-2"
"110_e","change in C stock",NA,"g C m-2"
"110_f","change in C stock",NA,"g C m-2"
"119_a","Total hyphal load of fungal endophytes in Anthoxanthum nipponicum",NA,"unitless"
"119_b","Total hyphal load of fungal endophytes in Anthoxanthum nipponicum",NA,"unitless"
"119_c","Total hyphal load of fungal endophytes in Anthoxanthum nipponicum",NA,"unitless"
"119_d","Total hyphal load of fungal endophytes in Calamagrostis phragmitoides",NA,"unitless"
"119_e","Total hyphal load of fungal endophytes in Calamagrostis phragmitoides",NA,"unitless"
"119_f","Total hyphal load of fungal endophytes in Calamagrostis phragmitoides",NA,"unitless"
"119_g","Total hyphal load of fungal endophytes in Festuca rubra",NA,"unitless"
"119_h","Total hyphal load of fungal endophytes in Festuca rubra",NA,"unitless"
"119_i","Total hyphal load of fungal endophytes in Festuca rubra",NA,"unitless"
"119_j","Morphotype Simpson Index of Anthoxanthum nipponicum","Diversity of endophyte hyphal morphotypes in leaf sheaths of Anthoxanthum nipponicum","unitless"
"119_k","Morphotype Simpson Index of Anthoxanthum nipponicum","Diversity of endophyte hyphal morphotypes in leaf sheaths of Anthoxanthum nipponicum","unitless"
"119_l","Morphotype Simpson Index of Anthoxanthum nipponicum","Diversity of endophyte hyphal morphotypes in leaf sheaths of Anthoxanthum nipponicum","unitless"
"119_m","Morphotype Simpson Index of Calamagrostis phragmitoides","Diversity of endophyte hyphal morphotypes in leaf sheaths of Calamagrostis phragmitoides","unitless"
"119_n","Morphotype Simpson Index of Calamagrostis phragmitoides","Diversity of endophyte hyphal morphotypes in leaf sheaths of Calamagrostis phragmitoides","unitless"
"119_o","Morphotype Simpson Index of Calamagrostis phragmitoides","Diversity of endophyte hyphal morphotypes in leaf sheaths of Calamagrostis phragmitoides","unitless"
"119_p","Morphotype Simpson Index of Festuca rubra","Diversity of endophyte hyphal morphotypes in leaf sheaths of Festuca rubra","unitless"
"119_q","Morphotype Simpson Index of Festuca rubra","Diversity of endophyte hyphal morphotypes in leaf sheaths of Festuca rubra","unitless"
"119_r","Morphotype Simpson Index of Festuca rubra","Diversity of endophyte hyphal morphotypes in leaf sheaths of Festuca rubra","unitless"
"119_s","Morphotype richness of Anthoxanthum nipponicum","Diversity of endophyte hyphal morphotypes in leaf sheaths of Anthoxanthum nipponicum","unitless"
"119_t","Morphotype richness of Anthoxanthum nipponicum","Diversity of endophyte hyphal morphotypes in leaf sheaths of Anthoxanthum nipponicum","unitless"
"119_u","Morphotype richness of Anthoxanthum nipponicum","Diversity of endophyte hyphal morphotypes in leaf sheaths of Anthoxanthum nipponicum","unitless"
"119_v","Morphotype richness of Calamagrostis phragmitoides","Diversity of endophyte hyphal morphotypes in leaf sheaths of Calamagrostis phragmitoides","unitless"
"119_w","Morphotype richness of Calamagrostis phragmitoides","Diversity of endophyte hyphal morphotypes in leaf sheaths of Calamagrostis phragmitoides","unitless"
